month,actual,naive,seasonal_naive,drift,moving_average_3
2025-01-01,1436.0,1697.0,1203.0,1719.3,1669.3
2025-02-01,1575.0,1436.0,1231.0,1450.5,1592.0
2025-03-01,1599.0,1575.0,1309.0,1592.8,1569.3
2025-04-01,1637.0,1599.0,1350.0,1617.0,1536.7
2025-05-01,1752.0,1637.0,1433.0,1655.5,1603.7
2025-06-01,1680.0,1752.0,1503.0,1772.9,1662.7
2025-07-01,1658.0,1680.0,1457.0,1698.7,1689.7
2025-08-01,1693.0,1658.0,1452.0,1675.7,1696.7
2025-09-01,1694.0,1693.0,1586.0,1711.1,1677.0
2025-10-01,1751.0,1694.0,1668.0,1711.7,1681.7
2025-11-01,1717.0,1751.0,1643.0,1769.6,1712.7
2025-12-01,1831.0,1717.0,1697.0,1734.4,1720.7
