month,orders,trend,seasonality,cycle,random
2022-01-01,915,1050.0,-140.0,0.0,4.7
2022-02-01,1007,1064.0,-100.0,13.5,29.0
2022-03-01,1036,1078.0,-50.0,26.4,-18.6
2022-04-01,1085,1092.0,-10.0,38.2,-34.8
2022-05-01,1132,1106.0,20.0,48.3,-42.3
2022-06-01,1194,1120.0,10.0,56.3,7.5
2022-07-01,1209,1134.0,-30.0,61.8,42.7
2022-08-01,1225,1148.0,-20.0,64.6,32.7
2022-09-01,1212,1162.0,30.0,64.6,-44.2
2022-10-01,1311,1176.0,70.0,61.8,3.0
2022-11-01,1385,1190.0,100.0,56.3,38.2
2022-12-01,1406,1204.0,120.0,48.3,33.7
2023-01-01,1081,1218.0,-140.0,38.2,-35.4
2023-02-01,1091,1232.0,-100.0,26.4,-67.0
2023-03-01,1236,1246.0,-50.0,13.5,26.5
2023-04-01,1260,1260.0,-10.0,0.0,10.1
2023-05-01,1306,1274.0,20.0,-13.5,25.3
2023-06-01,1279,1288.0,10.0,-26.4,7.5
2023-07-01,1252,1302.0,-30.0,-38.2,18.6
2023-08-01,1258,1316.0,-20.0,-48.3,10.5
2023-09-01,1313,1330.0,30.0,-56.3,9.1
2023-10-01,1273,1344.0,70.0,-61.8,-78.8
2023-11-01,1371,1358.0,100.0,-64.6,-21.9
2023-12-01,1461,1372.0,120.0,-64.6,33.3
2024-01-01,1203,1386.0,-140.0,-61.8,18.6
2024-02-01,1231,1400.0,-100.0,-56.3,-13.0
2024-03-01,1309,1414.0,-50.0,-48.3,-7.0
2024-04-01,1350,1428.0,-10.0,-38.2,-29.6
2024-05-01,1433,1442.0,20.0,-26.4,-2.7
2024-06-01,1503,1456.0,10.0,-13.5,50.3
2024-07-01,1457,1470.0,-30.0,-0.0,17.3
2024-08-01,1452,1484.0,-20.0,13.5,-25.3
2024-09-01,1586,1498.0,30.0,26.4,32.0
2024-10-01,1668,1512.0,70.0,38.2,47.8
2024-11-01,1643,1526.0,100.0,48.3,-31.8
2024-12-01,1697,1540.0,120.0,56.3,-19.7
2025-01-01,1436,1554.0,-140.0,61.8,-39.4
2025-02-01,1575,1568.0,-100.0,64.6,42.1
2025-03-01,1599,1582.0,-50.0,64.6,2.1
2025-04-01,1637,1596.0,-10.0,61.8,-11.2
2025-05-01,1752,1610.0,20.0,56.3,65.7
2025-06-01,1680,1624.0,10.0,48.3,-2.6
2025-07-01,1658,1638.0,-30.0,38.2,11.5
2025-08-01,1693,1652.0,-20.0,26.4,34.9
2025-09-01,1694,1666.0,30.0,13.5,-16.0
2025-10-01,1751,1680.0,70.0,0.0,1.0
2025-11-01,1717,1694.0,100.0,-13.5,-63.8
2025-12-01,1831,1708.0,120.0,-26.4,29.3
