observation,load_per_hour,median_first_response_min
1,10.1902,5.6369
2,11.1909,6.6109
3,12.7089,5.1578
4,14.4057,4.4951
5,15.7145,4.8188
6,17.7319,7.4217
7,19.3619,7.9310
8,24.2913,8.7746
9,25.7263,7.3521
10,26.5230,8.8369
11,26.5399,8.6734
12,29.9439,9.6042
13,30.1707,10.6028
14,30.5193,9.7437
15,31.3361,10.5917
16,35.7292,10.7157
17,39.5832,11.9234
18,40.1933,12.5598
19,42.1524,9.9822
20,42.8684,11.7962
21,45.2381,12.1227
22,45.9044,12.0316
23,46.0570,12.5942
24,46.6978,15.3082
25,46.9192,11.9360
26,47.3032,14.6837
27,49.1381,11.2616
28,49.3816,13.2722
29,50.9299,14.3499
30,52.6561,15.3609
31,54.3382,15.9291
32,56.3755,16.5167
33,56.5349,14.8974
34,56.7811,14.7892
